date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:00	531/531	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:04%20GMT	http://icit2015.ximb.ac.in/home/MCL.png?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/MCL.436fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:00	532/532	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:04%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/MCL.png?attachauth=ANoY7cp3gj4VshoXsqAU1PssKKKOKyQ8qPzQbd7HCbYccqRvhVI9j9-eMdPgWHJy994kBqYkf_8nNF2fpXnP6NqDQxfYWTRXATG7i3X-87z9y5Nis94U0ljn7yTrqdrHdjmH3LLK3nnNisG7WnTwa8PqM1tLiCmrJ0RCf0j7Pw3hb2rMiKWFwkAUFKU67Ne1otGA9yUwhle61Rves-9qO0XYiqYfFodhzA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/MCL.44a39d.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:00	34176/34176	---M--	200	added ('OK')	image/png	etag:%221450081231653%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/MCL.png?attachauth=ANoY7cp3gj4VshoXsqAU1PssKKKOKyQ8qPzQbd7HCbYccqRvhVI9j9-eMdPgWHJy994kBqYkf_8nNF2fpXnP6NqDQxfYWTRXATG7i3X-87z9y5Nis94U0ljn7yTrqdrHdjmH3LLK3nnNisG7WnTwa8PqM1tLiCmrJ0RCf0j7Pw3hb2rMiKWFwkAUFKU67Ne1otGA9yUwhle61Rves-9qO0XYiqYfFodhzA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/MCLa39d.png	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:01	544/544	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:05%20GMT	http://icit2015.ximb.ac.in/home/batoi-logo-white.png?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/batoi-logo-white.466fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:01	545/545	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:06%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/batoi-logo-white.png?attachauth=ANoY7coXHJHn5MpG2MNWzf4VC8Vm7hOcg_8Y1h5bk0FRXsDOQgUoAnuVKojvXGRK15Qo9AWJAh-pgaMQ5T8aekZVmNPorX_JAbYgC5MhkCNSugEm6WhViRd0KUxlaCSxDRKzC0rrsKI_YZ7Kr-p_vM26jrvzXYa4eXezaqlpLB_RmLH9e1M9kK6kSfWovtYQqlp7Lr1bfm5NPrkacoGaDNWFLwKqMVhiXA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/batoi-logo-white.47ace0.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:02	5487/5487	---M--	200	added ('OK')	image/png	etag:%221449635114867%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/batoi-logo-white.png?attachauth=ANoY7coXHJHn5MpG2MNWzf4VC8Vm7hOcg_8Y1h5bk0FRXsDOQgUoAnuVKojvXGRK15Qo9AWJAh-pgaMQ5T8aekZVmNPorX_JAbYgC5MhkCNSugEm6WhViRd0KUxlaCSxDRKzC0rrsKI_YZ7Kr-p_vM26jrvzXYa4eXezaqlpLB_RmLH9e1M9kK6kSfWovtYQqlp7Lr1bfm5NPrkacoGaDNWFLwKqMVhiXA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/batoi-logo-whiteace0.png	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:02	539/539	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:07%20GMT	http://icit2015.ximb.ac.in/home/DrubusLogo4.png?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/DrubusLogo4.496fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:08	540/540	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:30:12%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/DrubusLogo4.png?attachauth=ANoY7cooro6ng7OY-K97rRol-0B-lHgTgMRWJ9eKHb-43FcNhZ2ZsoknS8oijoAGHlLH_ZHdIEsg5bU1tag1djkM0bQs4Z_Mw4ZXYVheIBcJxjn-LAVHrIOcY4XFitmW523CtEllbmoUoetDJ500JiNwrPCI8lyppFF6t6PqPS_5fAwqbSNgP5bmJnYAOwHXhJhuP0ZJchC_e0XurBqsx79-mH6bKS3Kew%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/DrubusLogo4.4a93bb.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:08	17932/17932	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/system/errors/NodeNotFound?suri=wuid:gx:7c4cf3155efaed03	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/system/errors/NodeNotFoundfe8f.html	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
10:30:09	26448/26448	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=50	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/system/app/pages/recentChangese164.html	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
